No.     Time           Source                Destination           Protocol Length Info
    324 135.483472     17.57.144.11          149.43.220.33         TCP      66     5223 → 59271 [ACK] Seq=25 Ack=5621 Win=501 Len=0 TSval=1268326198 TSecr=334616901
    325 135.483473     17.57.144.11          149.43.220.33         TLSv1.2  114    Application Data
    326 135.483758     149.43.220.33         17.57.144.11          TCP      66     59271 → 5223 [ACK] Seq=5621 Ack=73 Win=2047 Len=0 TSval=334616916 TSecr=1268326198
    327 136.605068     23.22.254.206         149.43.220.33         TCP      66     [TCP Keep-Alive] 443 → 59298 [ACK] Seq=4217 Ack=1996 Win=32768 Len=0 TSval=3730860729 TSecr=2505441778
    328 136.605224     149.43.220.33         23.22.254.206         TCP      66     [TCP Window Update] 59298 → 443 [ACK] Seq=1996 Ack=4218 Win=131072 Len=0 TSval=2505443892 TSecr=3730858728
    329 145.000611     107.20.137.119        149.43.220.33         TCP      66     [TCP Dup ACK 47#9] 443 → 59296 [ACK] Seq=1 Ack=1 Win=13 Len=0 TSval=585754346 TSecr=2431256275
    330 145.000773     149.43.220.33         107.20.137.119        TCP      66     [TCP Dup ACK 48#9] [TCP ACKed unseen segment] 59296 → 443 [ACK] Seq=1 Ack=2 Win=2048 Len=0 TSval=2431271328 TSecr=585664031
    331 147.207141     149.43.220.33         224.0.0.251           MDNS     417    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _googlecast._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _smb._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR Jinseob’s MacBook Pro._companion-link._tcp.local OPT
    332 147.207151     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     437    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _googlecast._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _smb._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR Jinseob’s MacBook Pro._companion-link._tcp.local OPT
    333 149.360870     149.43.220.33         17.57.144.11          TLSv1.2  94     Application Data
    334 149.368823     149.43.220.33         224.0.0.251           MDNS     351    Standard query response 0x0000 PTR Jinseob’s MacBook Pro._airplay._tcp.local PTR 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local PTR Jinseob’s MacBook Pro._companion-link._tcp.local TXT OPT
    335 149.368864     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     371    Standard query response 0x0000 PTR Jinseob’s MacBook Pro._airplay._tcp.local PTR 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local PTR Jinseob’s MacBook Pro._companion-link._tcp.local TXT OPT
    336 149.418470     17.57.144.11          149.43.220.33         TCP      66     5223 → 59271 [ACK] Seq=73 Ack=5649 Win=501 Len=0 TSval=1268340135 TSecr=334630795
    337 150.371621     149.43.220.33         17.57.144.11          TCP      1440   59271 → 5223 [ACK] Seq=5649 Ack=73 Win=2048 Len=1374 TSval=334631806 TSecr=1268340135 [TCP segment of a reassembled PDU]
    338 150.371630     149.43.220.33         17.57.144.11          TCP      1440   59271 → 5223 [ACK] Seq=7023 Ack=73 Win=2048 Len=1374 TSval=334631806 TSecr=1268340135 [TCP segment of a reassembled PDU]
    339 150.371633     149.43.220.33         17.57.144.11          TCP      1440   59271 → 5223 [ACK] Seq=8397 Ack=73 Win=2048 Len=1374 TSval=334631806 TSecr=1268340135 [TCP segment of a reassembled PDU]
    340 150.371636     149.43.220.33         17.57.144.11          TLSv1.2  1420   Application Data
    341 150.389006     17.57.144.11          149.43.220.33         TCP      66     5223 → 59271 [ACK] Seq=73 Ack=7023 Win=501 Len=0 TSval=1268341105 TSecr=334631806
    342 150.389336     17.57.144.11          149.43.220.33         TCP      66     5223 → 59271 [ACK] Seq=73 Ack=8397 Win=501 Len=0 TSval=1268341106 TSecr=334631806
    343 150.389336     17.57.144.11          149.43.220.33         TCP      66     5223 → 59271 [ACK] Seq=73 Ack=9771 Win=497 Len=0 TSval=1268341106 TSecr=334631806
    344 150.389337     17.57.144.11          149.43.220.33         TCP      66     5223 → 59271 [ACK] Seq=73 Ack=11125 Win=501 Len=0 TSval=1268341106 TSecr=334631806
    345 849.561219     149.43.220.33         142.250.31.188        TLSv1.3  92     Application Data
    346 849.561228     149.43.220.33         142.250.31.188        TCP      92     [TCP Retransmission] 51410 → 5228 [PSH, ACK] Seq=790 Ack=7312 Win=131072 Len=26 TSval=2030449398 TSecr=4051406322
    347 849.561231     149.43.220.33         149.43.134.83         DNS      101    Standard query 0x9d93 PTR lb._dns-sd._udp.0.192.43.149.in-addr.arpa
    348 849.561233     149.43.220.33         149.43.134.83         DNS      87     Standard query 0xc3a5 PTR lb._dns-sd._udp.colgate.edu
    349 849.561236     149.43.220.33         149.43.134.83         DNS      100    Standard query 0x1ce7 PTR b._dns-sd._udp.0.192.43.149.in-addr.arpa
    350 849.561238     149.43.220.33         149.43.134.83         DNS      101    Standard query 0x3f0c PTR db._dns-sd._udp.0.192.43.149.in-addr.arpa
    351 849.561240     149.43.220.33         149.43.134.83         DNS      86     Standard query 0xb32e PTR b._dns-sd._udp.colgate.edu
    352 849.561243     149.43.220.33         149.43.134.83         DNS      87     Standard query 0x59d1 PTR db._dns-sd._udp.colgate.edu
    353 849.561244     149.43.220.33         149.43.134.83         DNS      74     Standard query 0x0e05 A time.apple.com
    354 849.562116     149.43.220.33         224.0.0.251           MDNS     597    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QU" question PTR _airport._tcp.local, "QU" question PTR _homekit._tcp.local, "QU" question PTR _rdlink._tcp.local, "QU" question PTR _uscan._tcp.local, "QU" question PTR _scanner._tcp.local, "QU" question PTR _ipp._tcp.local, "QU" question PTR _ptp._tcp.local, "QU" question PTR _pdl-datastream._tcp.local, "QU" question PTR _ippusb._tcp.local, "QU" question PTR _printer._tcp.local, "QU" question PTR _ipps._tcp.local, "QU" question PTR _uscans._tcp.local, "QU" question PTR _googlecast._tcp.local, "QU" question PTR _afpovertcp._tcp.local, "QU" question PTR _smb._tcp.local, "QU" question PTR _rfb._tcp.local, "QU" question PTR _adisk._tcp.local, "QU" question PTR _companion-link._tcp.local, "QU" question PTR _sleep-proxy._udp.local, "QU" question ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QU" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QU" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QU" question SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51411 Jinseobs-MacBook-Pro.local OPT
    355 849.562122     149.43.220.33         224.0.0.251           MDNS     338    Standard query response 0x0000 PTR _airplay._tcp.local PTR _raop._tcp.local PTR, cache flush Jinseobs-MacBook-Pro.local PTR, cache flush Jinseobs-MacBook-Pro.local NSEC, cache flush C.3.7.D.8.C.E.1.0.A.F.F.2.9.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 33.220.43.149.in-addr.arpa OPT
    356 849.562124     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     617    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QU" question PTR _airport._tcp.local, "QU" question PTR _homekit._tcp.local, "QU" question PTR _rdlink._tcp.local, "QU" question PTR _uscan._tcp.local, "QU" question PTR _scanner._tcp.local, "QU" question PTR _ipp._tcp.local, "QU" question PTR _ptp._tcp.local, "QU" question PTR _pdl-datastream._tcp.local, "QU" question PTR _ippusb._tcp.local, "QU" question PTR _printer._tcp.local, "QU" question PTR _ipps._tcp.local, "QU" question PTR _uscans._tcp.local, "QU" question PTR _googlecast._tcp.local, "QU" question PTR _afpovertcp._tcp.local, "QU" question PTR _smb._tcp.local, "QU" question PTR _rfb._tcp.local, "QU" question PTR _adisk._tcp.local, "QU" question PTR _companion-link._tcp.local, "QU" question PTR _sleep-proxy._udp.local, "QU" question ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QU" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QU" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QU" question SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51411 Jinseobs-MacBook-Pro.local OPT
    357 849.562128     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     358    Standard query response 0x0000 PTR _airplay._tcp.local PTR _raop._tcp.local PTR, cache flush Jinseobs-MacBook-Pro.local PTR, cache flush Jinseobs-MacBook-Pro.local NSEC, cache flush C.3.7.D.8.C.E.1.0.A.F.F.2.9.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 33.220.43.149.in-addr.arpa OPT
    358 849.570020     149.43.134.83         149.43.220.33         DNS      159    Standard query response 0x59d1 No such name PTR db._dns-sd._udp.colgate.edu SOA solidservervm02.colgate.edu
    359 849.570021     149.43.134.83         149.43.220.33         DNS      159    Standard query response 0xc3a5 No such name PTR lb._dns-sd._udp.colgate.edu SOA solidservervm02.colgate.edu
    360 849.570021     149.43.134.83         149.43.220.33         DNS      191    Standard query response 0x1ce7 No such name PTR b._dns-sd._udp.0.192.43.149.in-addr.arpa SOA solidservervm02.colgate.edu
    361 849.570543     149.43.134.83         149.43.220.33         DNS      190    Standard query response 0x0e05 A time.apple.com CNAME time-osx.g.aaplimg.com A 17.253.14.123 A 17.253.14.253 A 17.253.14.125 A 17.253.20.253 A 17.253.20.125
    362 849.570544     149.43.134.83         149.43.220.33         DNS      158    Standard query response 0xb32e No such name PTR b._dns-sd._udp.colgate.edu SOA solidservervm02.colgate.edu
    363 849.570544     149.43.134.83         149.43.220.33         DNS      192    Standard query response 0x9d93 No such name PTR lb._dns-sd._udp.0.192.43.149.in-addr.arpa SOA solidservervm02.colgate.edu
    364 849.570545     149.43.134.83         149.43.220.33         DNS      192    Standard query response 0x3f0c No such name PTR db._dns-sd._udp.0.192.43.149.in-addr.arpa SOA solidservervm02.colgate.edu
    365 849.572796     149.43.220.33         17.253.20.125         NTP      90     NTP Version 4, client
    366 849.581542     142.250.31.188        149.43.220.33         TCP      78     5228 → 51410 [ACK] Seq=7312 Ack=816 Win=67840 Len=0 TSval=4052121470 TSecr=2030449398 SLE=790 SRE=816
    367 849.586989     17.253.20.125         149.43.220.33         NTP      90     NTP Version 4, server
    368 849.588643     149.43.220.33         17.253.14.123         NTP      90     NTP Version 4, client
    369 849.589178     142.250.31.188        149.43.220.33         TLSv1.3  92     Application Data
    370 849.589212     149.43.220.33         142.250.31.188        TCP      66     51410 → 5228 [ACK] Seq=816 Ack=7338 Win=131008 Len=0 TSval=2030449520 TSecr=4052121477
    371 849.598955     17.253.14.123         149.43.220.33         NTP      90     NTP Version 4, server
    372 849.602874     149.43.220.33         17.253.14.253         NTP      90     NTP Version 4, client
    373 849.612360     17.253.14.253         149.43.220.33         NTP      90     NTP Version 4, server
    374 849.614565     149.43.220.33         224.0.0.251           MDNS     308    Standard query 0x0000 ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QM" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QM" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QM" question SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51411 Jinseobs-MacBook-Pro.local OPT
    375 849.614591     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     328    Standard query 0x0000 ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QM" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QM" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QM" question SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51411 Jinseobs-MacBook-Pro.local OPT
    376 849.614840     149.43.220.33         149.43.134.83         DNS      86     Standard query 0xa8fc PTR 33.220.43.149.in-addr.arpa
    377 849.617349     149.43.134.83         149.43.220.33         DNS      124    Standard query response 0xa8fc PTR 33.220.43.149.in-addr.arpa PTR jinseobs-mbp.colgate.edu
    378 849.672982     149.43.220.33         224.0.0.251           MDNS     578    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QU" question PTR _airport._tcp.local, "QU" question PTR _homekit._tcp.local, "QU" question PTR _rdlink._tcp.local, "QU" question PTR _uscan._tcp.local, "QU" question PTR _scanner._tcp.local, "QU" question PTR _ipp._tcp.local, "QU" question PTR _ptp._tcp.local, "QU" question PTR _pdl-datastream._tcp.local, "QU" question PTR _ippusb._tcp.local, "QU" question PTR _printer._tcp.local, "QU" question PTR _ipps._tcp.local, "QU" question PTR _uscans._tcp.local, "QU" question PTR _googlecast._tcp.local, "QU" question PTR _afpovertcp._tcp.local, "QU" question PTR _smb._tcp.local, "QU" question PTR _rfb._tcp.local, "QU" question PTR _adisk._tcp.local, "QU" question PTR _companion-link._tcp.local, "QU" question ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QU" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QU" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QU" question SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51411 Jinseobs-MacBook-Pro.local OPT
    379 849.673021     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     598    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QU" question PTR _airport._tcp.local, "QU" question PTR _homekit._tcp.local, "QU" question PTR _rdlink._tcp.local, "QU" question PTR _uscan._tcp.local, "QU" question PTR _scanner._tcp.local, "QU" question PTR _ipp._tcp.local, "QU" question PTR _ptp._tcp.local, "QU" question PTR _pdl-datastream._tcp.local, "QU" question PTR _ippusb._tcp.local, "QU" question PTR _printer._tcp.local, "QU" question PTR _ipps._tcp.local, "QU" question PTR _uscans._tcp.local, "QU" question PTR _googlecast._tcp.local, "QU" question PTR _afpovertcp._tcp.local, "QU" question PTR _smb._tcp.local, "QU" question PTR _rfb._tcp.local, "QU" question PTR _adisk._tcp.local, "QU" question PTR _companion-link._tcp.local, "QU" question ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QU" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QU" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QU" question SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51411 Jinseobs-MacBook-Pro.local OPT
    380 849.673072     149.43.220.33         224.0.0.251           MDNS     159    Standard query response 0x0000 PTR _airplay._tcp.local PTR _raop._tcp.local OPT
    381 849.673081     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     179    Standard query response 0x0000 PTR _airplay._tcp.local PTR _raop._tcp.local OPT
    382 849.863820     149.43.220.33         224.0.0.251           MDNS     159    Standard query 0x0000 ANY Jinseobs-MacBook-Pro.local, "QU" question AAAA fe80::92:ffa0:1ec8:d73c A 149.43.220.33 OPT
    383 849.863845     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     179    Standard query 0x0000 ANY Jinseobs-MacBook-Pro.local, "QU" question AAAA fe80::92:ffa0:1ec8:d73c A 149.43.220.33 OPT
    384 849.965346     149.43.220.33         224.0.0.251           MDNS     308    Standard query 0x0000 ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QM" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QM" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QM" question SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51411 Jinseobs-MacBook-Pro.local OPT
    385 849.965476     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     328    Standard query 0x0000 ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QM" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QM" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QM" question SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51411 Jinseobs-MacBook-Pro.local OPT
    386 850.114327     149.43.220.33         224.0.0.251           MDNS     159    Standard query 0x0000 ANY Jinseobs-MacBook-Pro.local, "QM" question AAAA fe80::92:ffa0:1ec8:d73c A 149.43.220.33 OPT
    387 850.114334     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     179    Standard query 0x0000 ANY Jinseobs-MacBook-Pro.local, "QM" question AAAA fe80::92:ffa0:1ec8:d73c A 149.43.220.33 OPT
    388 850.147983     149.43.100.186        149.43.220.33         TCP      78     56506 → 7000 [SYN] Seq=0 Win=65535 Len=0 MSS=1386 WS=64 TSval=648664919 TSecr=0 SACK_PERM=1
    389 850.148187     149.43.220.33         149.43.100.186        TCP      78     7000 → 56506 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=64 TSval=3670706178 TSecr=648664919 SACK_PERM=1
    390 850.215850     149.43.220.33         224.0.0.251           MDNS     308    Standard query 0x0000 ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QM" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QM" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QM" question SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51411 Jinseobs-MacBook-Pro.local OPT
    391 850.215937     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     328    Standard query 0x0000 ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QM" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QM" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QM" question SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51411 Jinseobs-MacBook-Pro.local OPT
    392 850.297942     149.43.100.186        149.43.220.33         TCP      66     56506 → 7000 [ACK] Seq=1 Ack=1 Win=131904 Len=0 TSval=648664926 TSecr=3670706178
    393 850.297942     149.43.100.186        149.43.220.33         TCP      107    56506 → 7000 [PSH, ACK] Seq=1 Ack=1 Win=131904 Len=41 TSval=648664926 TSecr=3670706178 [TCP segment of a reassembled PDU]
    394 850.297942     149.43.100.186        149.43.220.33         TCP      107    [TCP Retransmission] 56506 → 7000 [PSH, ACK] Seq=1 Ack=1 Win=131904 Len=41 TSval=648664971 TSecr=3670706178
    395 850.297999     149.43.220.33         149.43.100.186        TCP      66     7000 → 56506 [ACK] Seq=1 Ack=42 Win=131840 Len=0 TSval=3670706328 TSecr=648664926
    396 850.298027     149.43.220.33         149.43.100.186        TCP      78     [TCP Dup ACK 395#1] 7000 → 56506 [ACK] Seq=1 Ack=42 Win=131840 Len=0 TSval=3670706328 TSecr=648664971 SLE=1 SRE=42
    397 850.306979     149.43.220.33         149.43.100.186        TCP      1440   7000 → 56506 [ACK] Seq=1 Ack=42 Win=131840 Len=1374 TSval=3670706337 TSecr=648664971 [TCP segment of a reassembled PDU]
    398 850.307031     149.43.220.33         149.43.100.186        TCP      388    7000 → 56506 [PSH, ACK] Seq=1375 Ack=42 Win=131840 Len=322 TSval=3670706337 TSecr=648664971 [TCP segment of a reassembled PDU]
    399 850.312611     149.43.100.186        149.43.220.33         TCP      66     56506 → 7000 [ACK] Seq=42 Ack=1697 Win=130176 Len=0 TSval=648665082 TSecr=3670706337
    400 850.312612     149.43.100.186        149.43.220.33         TCP      66     56506 → 7000 [FIN, ACK] Seq=42 Ack=1697 Win=131072 Len=0 TSval=648665082 TSecr=3670706337
    401 850.312672     149.43.220.33         149.43.100.186        TCP      66     7000 → 56506 [ACK] Seq=1697 Ack=43 Win=131840 Len=0 TSval=3670706343 TSecr=648665082
    402 850.312761     149.43.220.33         149.43.100.186        TCP      66     7000 → 56506 [FIN, ACK] Seq=1697 Ack=43 Win=131840 Len=0 TSval=3670706343 TSecr=648665082
    403 850.316806     149.43.100.186        149.43.220.33         TCP      66     56506 → 7000 [ACK] Seq=43 Ack=1698 Win=131072 Len=0 TSval=648665087 TSecr=3670706343
    404 850.365735     149.43.220.33         224.0.0.251           MDNS     159    Standard query 0x0000 ANY Jinseobs-MacBook-Pro.local, "QM" question AAAA fe80::92:ffa0:1ec8:d73c A 149.43.220.33 OPT
    405 850.365789     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     179    Standard query 0x0000 ANY Jinseobs-MacBook-Pro.local, "QM" question AAAA fe80::92:ffa0:1ec8:d73c A 149.43.220.33 OPT
    406 850.365936     149.43.220.33         224.0.0.251           MDNS     338    Standard query response 0x0000 PTR _airplay._tcp.local PTR _raop._tcp.local PTR, cache flush Jinseobs-MacBook-Pro.local PTR, cache flush Jinseobs-MacBook-Pro.local NSEC, cache flush C.3.7.D.8.C.E.1.0.A.F.F.2.9.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 33.220.43.149.in-addr.arpa OPT
    407 850.365968     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     358    Standard query response 0x0000 PTR _airplay._tcp.local PTR _raop._tcp.local PTR, cache flush Jinseobs-MacBook-Pro.local PTR, cache flush Jinseobs-MacBook-Pro.local NSEC, cache flush C.3.7.D.8.C.E.1.0.A.F.F.2.9.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 33.220.43.149.in-addr.arpa OPT
    408 850.430859     149.43.125.170        149.43.220.33         TCP      78     58426 → 7000 [SYN] Seq=0 Win=65535 Len=0 MSS=1386 WS=64 TSval=1193486650 TSecr=0 SACK_PERM=1
    409 850.431027     149.43.220.33         149.43.125.170        TCP      78     7000 → 58426 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=64 TSval=4080353418 TSecr=1193486650 SACK_PERM=1
    410 850.439962     149.43.125.170        149.43.220.33         TCP      66     58426 → 7000 [ACK] Seq=1 Ack=1 Win=131904 Len=0 TSval=1193486661 TSecr=4080353418
    411 850.439962     149.43.125.170        149.43.220.33         TCP      107    58426 → 7000 [PSH, ACK] Seq=1 Ack=1 Win=131904 Len=41 TSval=1193486661 TSecr=4080353418 [TCP segment of a reassembled PDU]
    412 850.440000     149.43.220.33         149.43.125.170        TCP      66     7000 → 58426 [ACK] Seq=1 Ack=42 Win=131840 Len=0 TSval=4080353427 TSecr=1193486661
    413 850.443625     149.43.220.33         149.43.125.170        TCP      1440   7000 → 58426 [ACK] Seq=1 Ack=42 Win=131840 Len=1374 TSval=4080353431 TSecr=1193486661 [TCP segment of a reassembled PDU]
    414 850.443664     149.43.220.33         149.43.125.170        TCP      388    7000 → 58426 [PSH, ACK] Seq=1375 Ack=42 Win=131840 Len=322 TSval=4080353431 TSecr=1193486661 [TCP segment of a reassembled PDU]
    415 850.450607     149.43.125.170        149.43.220.33         TCP      66     58426 → 7000 [ACK] Seq=42 Ack=1697 Win=130176 Len=0 TSval=1193486672 TSecr=4080353431
    416 850.452002     149.43.125.170        149.43.220.33         TCP      66     58426 → 7000 [FIN, ACK] Seq=42 Ack=1697 Win=131072 Len=0 TSval=1193486673 TSecr=4080353431
    417 850.452020     149.43.220.33         149.43.125.170        TCP      66     7000 → 58426 [ACK] Seq=1697 Ack=43 Win=131840 Len=0 TSval=4080353439 TSecr=1193486673
    418 850.452082     149.43.220.33         149.43.125.170        TCP      66     7000 → 58426 [FIN, ACK] Seq=1697 Ack=43 Win=131840 Len=0 TSval=4080353439 TSecr=1193486673
    419 850.458064     149.43.125.170        149.43.220.33         TCP      66     58426 → 7000 [ACK] Seq=43 Ack=1698 Win=131072 Len=0 TSval=1193486680 TSecr=4080353439
    420 850.465488     149.43.220.33         224.0.0.251           MDNS     398    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _googlecast._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _smb._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _sleep-proxy._udp.local, "QM" question OPT
    421 850.465507     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     418    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _googlecast._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _smb._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _sleep-proxy._udp.local, "QM" question OPT
    422 850.465736     149.43.220.33         224.0.0.251           MDNS     1219   Standard query response 0x0000 TXT, cache flush PTR Jinseob’s MacBook Pro._airplay._tcp.local TXT, cache flush PTR 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local TXT, cache flush PTR _companion-link._tcp.local PTR Jinseob’s MacBook Pro._companion-link._tcp.local TXT SRV, cache flush 0 0 51411 Jinseobs-MacBook-Pro.local NSEC, cache flush Jinseob’s MacBook Pro._airplay._tcp.local NSEC, cache flush 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local NSEC, cache flush Jinseob’s MacBook Pro._companion-link._tcp.local OPT
